Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
167807,1074676705,G,20.7526,-12.0959,-6.7323,15.4605,13.8432,0.9616,-2.6337,1,G,17.4726,13.2198,2.6013,-11.1244,13.4733,-0.7526,0.1943,-1,37.7364
167807,1073596728,G,13.0708,-5.2139,-1.3833,11.9053,5.3943,1.5326,-2.8823,1,G,5.4267,5.2723,0.6594,-1.0980,5.3134,-0.2052,0.1244,-1,14.9944
167807,1073881848,G,35.0206,-0.3489,8.4155,-33.9925,8.4228,-2.1034,1.6122,-1,G,55.5261,-10.2834,5.8877,-54.2469,11.8496,-2.2261,2.6216,1,9.7414
167807,1074487128,G,7.5776,-3.5002,-4.1048,-5.3205,5.3945,-0.8716,-2.2769,-1,G,6.9084,5.5068,3.9103,1.4487,6.7539,0.2129,0.6175,1,13.8125
167807,1074529208,G,76.3380,-16.1301,-33.0978,-66.8718,36.8191,-1.3583,-2.0243,1,G,29.5739,14.0626,22.4106,13.2141,26.4573,0.4807,1.0104,-1,90.6626
167807,1074399850,G,13.6843,5.2654,-10.6721,-6.7550,11.9004,-0.5409,-1.1125,-1,G,5.4644,1.4100,-4.7588,-2.2836,4.9632,-0.4452,-1.2828,1,1.5178
167807,1074730386,G,24.1974,4.1229,10.7341,21.2904,11.4987,1.3752,1.2041,-1,G,13.4828,-5.1141,-4.3229,11.7018,6.6964,1.3247,-2.4398,1,17.0065
167807,1073687532,G,5.6302,-3.5159,1.3084,4.1970,3.7515,0.9629,2.7853,-1,G,8.3532,-1.2620,5.7611,5.9146,5.8977,0.8834,1.7864,1,4.5262
167807,1073807172,G,5.5400,1.7833,-1.5636,5.0055,2.3718,1.4920,-0.7198,-1,G,11.4560,1.8445,1.1678,11.2456,2.1831,2.3417,0.5644,1,3.3835
167807,1073990012,G,8.5706,-1.3499,-2.1075,8.1964,2.5028,1.9020,-2.1405,1,G,7.1817,-3.7618,-1.0403,6.0277,3.9030,1.2191,-2.8718,-1,3.1265
167807,1074607556,G,219.7940,-53.5645,2.7690,213.1490,53.6360,2.0884,3.0899,-1,G,59.7774,32.4027,6.0954,49.8621,32.9711,1.2016,0.1859,1,91.9718
167807,1073895447,G,14.0958,7.8818,5.1925,-10.4688,9.4385,-0.9565,0.5825,1,G,10.8600,5.7981,2.2008,-8.9144,6.2017,-1.1595,0.3628,-1,2.2984
167807,1074045959,G,40.0594,-11.6065,-6.1145,37.8503,13.0220,1.7814,-2.6567,1,G,11.5532,-6.8008,-6.1159,7.0576,9.1463,0.7104,-2.4092,-1,12.5986
167807,1074187903,G,26.7233,-15.7355,-12.3202,-17.7406,19.9849,-0.7997,-2.4773,1,G,15.8386,6.9572,11.2764,-8.6770,13.2499,-0.6153,1.0180,-1,32.1788
167807,1074286999,G,12.2204,-5.3974,-10.9415,0.6906,12.2004,0.0566,-2.0291,-1,G,11.2162,3.0665,8.8594,6.1562,9.3751,0.6168,1.2376,1,22.1951
167807,1074343255,G,12.6932,8.5088,0.7365,9.3896,8.5406,0.9500,0.0863,-1,G,19.0001,13.1702,4.6330,12.8870,13.9613,0.8259,0.3383,1,3.0677
167807,1074339071,G,42.3624,-7.1235,-13.6629,39.4607,15.4084,1.6696,-2.0514,1,G,22.7387,10.6826,2.1503,19.9573,10.8969,1.3656,0.1986,-1,23.7160
167807,1074615943,G,13.2865,-0.8805,13.1784,1.4397,13.2078,0.1088,1.6375,1,G,8.2780,-0.0920,7.9973,2.1328,7.9978,0.2636,1.5823,-1,1.7048
167807,1074842922,G,150.3640,-32.8821,-38.8162,-141.4970,50.8717,-1.7470,-2.2736,-1,G,50.7387,26.0876,25.6450,-35.1593,36.5818,-0.8536,0.7768,1,94.9485
167807,1074887650,G,72.7014,35.3928,4.1795,63.3668,35.6387,1.3397,0.1175,-1,G,146.8250,-53.6755,-10.2959,136.2730,54.6540,1.6448,-2.9521,1,89.2403
167807,1075083674,G,11.3312,1.3149,5.1613,-10.0009,5.3262,-1.3876,1.3214,-1,G,6.6844,-2.1835,-6.3147,0.1640,6.6815,0.0245,-1.9037,1,15.0238
167807,1075539802,G,7.3919,-3.9848,3.2409,5.3148,5.1363,0.9057,2.4588,-1,G,5.6007,4.2054,-1.4967,3.3811,4.4638,0.6991,-0.3419,1,9.4921
167807,1074921349,G,17.9741,9.4993,-5.2256,14.3357,10.8418,1.0919,-0.5029,1,G,9.4327,5.2156,-0.9718,7.7987,5.3053,1.1780,-0.1842,-1,2.5038
167807,1075284781,G,15.5876,-0.0581,6.5553,-14.1416,6.5555,-1.5118,1.5797,1,G,22.3800,-0.3150,-9.0854,20.4502,9.0908,1.5500,-1.6055,-1,37.3523
167807,1075270213,G,30.0276,-18.4329,0.0798,-23.7038,18.4331,-1.0698,3.1373,1,G,25.9171,-16.1717,-2.7055,-20.0709,16.3965,-1.0313,-2.9758,-1,3.0359
167807,1075725237,G,8.8538,-4.1762,6.3027,-4.6058,7.5607,-0.5767,2.1560,1,G,8.2433,-2.7989,6.9189,-3.4979,7.4636,-0.4530,1.9552,-1,1.7822
167807,1075932061,G,30.5917,10.3194,6.3810,-28.0826,11.8774,-1.5759,0.5542,1,G,8.9482,1.6560,-7.9763,3.7007,8.1464,0.4399,-1.3661,-1,28.6875
167807,1074991513,G,41.6188,2.3152,-24.3941,33.6405,24.5037,1.1221,-1.4762,-1,G,18.8901,1.8577,-11.1577,15.1288,11.3113,1.1011,-1.4058,1,1.2434
167807,1074986905,G,40.9158,27.8747,13.0688,-26.9500,30.7862,-0.7905,0.4384,-1,G,19.3606,-14.9788,-8.4237,-8.9163,17.1849,-0.4980,-2.6293,1,46.4648
167807,1075088081,G,8.4367,8.0031,-0.5767,2.6048,8.0239,0.3192,-0.0719,1,G,6.3060,-0.2758,6.2146,1.0284,6.2207,0.1646,1.6151,-1,10.6137
167807,1075193769,G,15.0384,0.5568,6.7552,-13.4238,6.7781,-1.4349,1.4886,-1,G,5.8097,-1.1438,-4.5074,3.4809,4.6503,0.6920,-1.8193,1,18.1765
167807,1075220825,G,50.0451,8.1202,6.0907,49.0048,10.1505,2.2781,0.6435,1,G,36.2537,11.0854,9.3289,33.2326,14.4884,1.5678,0.6996,-1,8.8250
167807,1075249625,G,14.4085,2.9729,-0.1585,-14.0972,2.9771,-2.2591,-0.0533,1,G,11.3924,2.6204,0.1715,-11.0851,2.6260,-2.1471,0.0654,-1,0.5034
167807,1075525833,G,14.6331,-5.0209,-4.4068,-13.0187,6.6805,-1.4205,-2.4212,1,G,10.5474,3.6982,5.0751,8.4738,6.2796,1.1082,0.9411,-1,24.7226
167807,1075888401,G,9.4607,2.9342,4.8162,7.5953,5.6397,1.1066,1.0236,-1,G,6.1258,-1.6216,-4.9087,-3.2847,5.1696,-0.5989,-1.8899,1,14.9207
167807,1075224832,G,15.3007,-8.8731,-1.2948,12.3973,8.9671,1.1278,-2.9967,-1,G,18.4241,15.3767,-2.3271,-9.8781,15.5518,-0.5988,-0.1502,1,32.7964
167807,1075498744,G,10.5730,0.4468,6.7603,-8.1165,6.7750,-1.0147,1.5048,1,G,11.9084,-1.1167,-8.0358,8.7165,8.1130,0.9330,-1.7089,-1,22.4272
167807,1074871126,G,10.4833,6.7129,2.5519,7.6363,7.1816,0.9254,0.3633,-1,G,10.8913,-6.6876,-0.5546,8.5778,6.7106,1.0651,-3.0589,1,13.7836
167807,1075327118,G,19.3537,11.1151,-2.0489,15.7103,11.3023,1.1322,-0.1823,-1,G,10.9200,-9.4493,0.9985,5.3803,9.5019,0.5397,3.0363,1,21.6288
167807,1075654846,G,35.6453,-10.7324,-5.5649,33.5325,12.0893,1.7444,-2.6632,1,G,18.1333,-5.2469,-2.7682,17.1351,5.9324,1.7826,-2.6561,-1,0.3978
167807,1075891406,G,12.5975,5.2632,-4.5702,10.4927,6.9705,1.1977,-0.7150,1,G,19.7713,-6.3412,15.1178,-11.0514,16.3939,-0.6313,1.9680,-1,30.5779
167807,1074948517,G,105.9550,8.0474,-24.8573,102.6830,26.1275,2.0776,-1.2577,-1,T,33.3549,-11.3664,30.0679,8.9031,32.1446,0.2735,1.9322,1,83.1723
167807,1075083957,G,12.4445,1.1364,2.6790,12.0990,2.9100,2.1323,1.1696,-1,G,4.7018,-2.2002,-2.4388,-3.3626,3.2829,-0.8981,-2.3049,1,14.7133
