Metric,Gaussian,Breit-Wigner,Voigt
FWHM (GeV),0.077 ± 7.611e-04,0.051 ± 8.091e-04,0.072 ± 0.001
Relative Width,0.025,0.016,0.023
Chi-squared,136.28970290584982,504.1448107798161,59.01742203796977
Degrees of Freedom,28,28,27
Reduced Chi-squared,4.8674893894946365,18.00517181356486,2.1858304458507325
p-value,3.432171496750983e-16,9.43608623542466e-89,0.00035433273976740484
AIC,146.28970290584982,514.1448107798161,71.01742203796977
BIC,153.7722407131822,521.6273485871485,79.99646740676866
