Metric,Gaussian,Breit-Wigner,Voigt
FWHM (GeV),4.883 ± 0.088,4.128 ± 0.134,4.419 ± 0.148
Relative Width,0.054,0.045,0.048
Chi-squared,116.29911638788224,75.15432677844213,65.38622791340913
Degrees of Freedom,62,62,61
Reduced Chi-squared,1.8757921998045521,1.2121665609426149,1.071905375629658
p-value,3.6263860785734786e-05,0.12186841788499533,0.3270679070056448
AIC,126.29911638788224,85.15432677844213,77.38622791340913
BIC,137.32257948483706,96.17778987539695,90.61438362975493
