Quantity,Value (GeV)
Exact Peak,91.48384890116293
Approximate Peak,91.48384889175287
Peak Difference,9.410058510184172e-09
Mean Approximation Error,7.1049002997369824e-09
Maximum Approximation Error,2.844018354153377e-08
Minimum Approximation Error,4.35569802448299e-09
Difference from PDG Value,0.29594890116293016
