Quantity,Value (GeV)
Exact Peak,90.8770327507661
Approximate Peak,90.87673333216686
Peak Difference,0.00029941859924065284
Mean Approximation Error,0.00030746655362208275
Maximum Approximation Error,0.00720601220855599
Minimum Approximation Error,0.00018805999143012286
Difference from PDG Value,0.31086724923389397
