Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173430,197973738,G,55.2024,8.8507,-34.357,42.2914,35.4787,1.0109,-1.3187,1,G,47.3392,-20.2705,26.6875,33.4346,33.513,0.8797,2.2204,-1,67.758
173430,198087444,G,58.9673,17.576,33.6771,45.1007,37.9877,1.0078,1.0898,-1,G,38.426,-27.9866,-21.7714,-14.8089,35.4576,-0.4064,-2.4805,1,91.2016
173430,196991793,G,96.6533,34.36,6.0755,-90.135,34.893,-1.6777,0.175,-1,G,27.6164,-25.9715,-5.5978,7.5366,26.568,0.28,-2.9293,1,92.4655
173430,197833056,G,120.264,9.7941,41.8114,112.336,42.9432,1.6894,1.3407,-1,G,53.2467,-12.373,-36.9182,36.3201,38.9364,0.8331,-1.8942,1,89.313
173430,196787689,G,45.8786,-41.4698,-18.9441,-5.12,45.5919,-0.1121,-2.7131,1,G,47.5474,38.0939,17.07,22.7644,41.7436,0.5214,0.4213,-1,91.6635
173430,196779992,G,51.4192,21.7607,-44.481,-13.8506,49.5186,-0.2762,-1.1158,-1,G,41.5067,-25.6052,32.4876,-3.4249,41.365,-0.0827,2.2383,1,90.4332
173430,197850770,G,128.155,-6.0469,-37.3162,122.453,37.803,1.8915,-1.7314,1,G,145.05,-1.4707,57.3091,133.24,57.3279,1.5799,1.5964,-1,93.8396
173430,198636330,G,55.9279,45.6524,-26.0027,-19.1738,52.5384,-0.3573,-0.5178,-1,G,39.5747,-33.7137,20.4151,-3.5724,39.413,-0.0905,2.5971,1,91.8129
173430,198690609,G,44.2044,-11.3435,31.3057,-29.0739,33.2975,-0.7888,1.9184,-1,G,46.7817,13.9176,-29.5753,33.4682,32.6863,0.8982,-1.131,1,90.827
173430,199951375,G,128.793,-28.6808,-37.7224,119.758,47.3874,1.6573,-2.2209,-1,G,92.1902,20.8278,40.2333,80.2902,45.3047,1.3369,1.0931,1,93.5211
